product_id,product_brand,product_model_name
B01D4Z97UG,Samsung,Samsung Galaxy S6 SM-G920A 32GB Unlocked GSM 4G LTE Octa-Core Smartphone w/ 16MP Camera - White (Renewed)
B01D53A7KG,Samsung,Samsung Galaxy S6 SM-G920A 32GB White Smartphone for AT&T (Renewed)
B01DL9TVW4,Samsung,"Samsung Galaxy S5 G900A Factory Unlocked Cellphone, Android 16GB, Gold"
B01DUPOOMG,Samsung,Samsung Galaxy S6 G920P 32GB Black Boost Mobile Smartphone
B01DZ2CS4U,Samsung,Samsung Galaxy S7 32GB G930V Unlocked - Black
B01DZJFWNC,Motorola,Moto G Plus (4th Gen.) Unlocked - Black - 64GB - U.S. Warranty
B01DZJFWWS,Motorola,Moto G (4th Gen.) Unlocked - Black - 32GB
B01E7FK14S,Samsung,"Samsung Galaxy J3 Express Prime 2 SM-J327A 4G LTE 7.0 Nougat 5"" Smartphone (AT&T) - Black"
B01EIVMETG,Samsung,Samsung Galaxy J1 Mini 8GB J106H/DS Dual Sim Unlocked Phone - Retail Packaging- Black
B01EWKHIAI,,Microsoft Lumia 950 32GB Dual Sim NAM RM-1118 GSM Factory Unlocked - US Warranty (Black)
B01F5FYXNO,Samsung,"Samsung Galaxy J3, Verizon LTE Prepaid (Black)"
B01FCFZS3G,Samsung,Samsung Galaxy S7 Edge G935A 32GB AT&T - Black Onyx
B01FIW1B9S,Samsung,Samsung Galaxy S7 G930T 32GB T-Mobile - Black
B01FJT7E3M,Sony,"Sony Xperia XA Ultra (F3213) 4G LTE Unlocked GSM Phone w/ 6” Borderless Display, 21.5MP+16MP Cameras, Octa-Core CPU - White"
B01FJT7MZC,Sony,Sony Xperia X Performance F8131 32GB Unlocked GSM LTE Android Phone w/ 23MP Camera - Black
B01FJT7N4W,Sony,Sony Xperia X F5121 32GB GSM 23MP Camera Phone - Graphite Black
B01GP2XIJQ,Samsung,Samsung Galaxy Amp 2 - Cricket
B01GXAT0CE,Apple,"Apple iPhone SE, 16GB, Rose Gold - For AT&T / T-Mobile (Renewed)"
B01H93TCCM,Samsung,Samsung Galaxy S7 Active SM-G891A 32GB Sandy Gold No-Contract AT&T
B01HFJR6NW,Motorola,Motorola Droid MAXX XT1080M 16GB Black Verizon and GSM Unlocked (Certified Refurbished)
B01HFK15BU,Samsung,Samsung Galaxy S6 G920V 32GB Verizon 4G LTE Smartphone W/ 16MP Camera - White
B01HFLRS38,Motorola,Motorola Droid MAXX XT1080M 16GB Red Verizon and GSM Unlocked (Renewed)
B01HTZ4T8C,Samsung,"Samsung Galaxy S7 G930V 32GB, Verizon, Black Onyx, Unlocked Smartphones (Renewed)"
B01I0HP1Z8,Samsung,Samsung Galaxy S6 G920T Unlocked GSM 4G LTE Smartphone w/ 16MP Camera - White Pearl
B01I8V0MJQ,Samsung,Samsung Galaxy S7 32GB T-Mobile - Gold Platinum
B01INV912A,Motorola,motorola G4 16GB Smartphone
B01J63O3KY,Samsung,"Samsung GS6 5.1"" Certified Pre-Owned Carrier Locked Phone - 32GB - White (Verizon)"
B01J63ODA4,Samsung,"Samsung Galaxy S6 (Verizon) Certified Pre-Owned Prepaid Carrier Locked, White"
B01JAWWVXW,Apple,"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)"
B01K5R3GXK,Motorola,Motorola DROID Turbo XT1254 32GB Verizon Black Ballistic Nylon (Renewed)
B01K5RGPIS,Samsung,Samsung Galaxy S6 G920A 64GB Unlocked GSM 4G LTE Octa-Core Android Smartphone with 16MP Camera - Black Sapphire
B01L9D7J00,Samsung,Samsung Convoy 4 B690 Rugged Water-Resistant Verizon Flip Phone w/ 5MP Camera - Blue
B01LEL8ABY,Motorola,"Moto Z GSM Unlocked Smartphone, 5.5"" Quad HD screen, 64GB storage, 5.2mm thin - Black"
